First name,Last name,Website
Rachel,Sugar,https://www.vox.com
Aleksandra,Vayntraub,https://www.prweek.com/article/1522550/the-word-escape-room-companies-market-themselves-growing-audience
Lisa,Spira,https://roomescapeartist.com/2019/08/08/5-year-us-escape-room-industry-report-august-2019/
Carly,Mallenbaum,https://www.usatoday.com/story/life/people/2018/04/25/escape-rooms-trend-us/468181002/
Anjee,Solanki,https://knowledge-leader.colliers.com/anjee-solanki/cre-breaks-in-to-the-escape-room-trend/
Abigail,Meisel,https://www.hampshire.edu/news/2018/12/03/students-design-escape-room-show-to-puzzle-audiences
Keven,Moore,https://www.nkytribune.com/2019/08/keven-moore-escape-rooms-are-a-popular-trendy-form-of-entertainment-but-are-they-dangerous/
Chris,Kornelis,https://www.wsj.com/articles/unlocking-the-business-secrets-of-escape-rooms-1524838226
Adam,K,https://gen.medium.com/can-the-escape-room-craze-reach-escape-velocity-85858dbbadf3
Lisa,Spira,https://roomescapeartist.com/2018/07/28/2018-escape-room-industry/
Jessica,Contrera,https://www.washingtonpost.com/lifestyle/style/its-no-puzzle-why-escape-room-adventures-are-so-popular/2015/01/16/938370de-9b4f-11e4-96cc-e858eba91ced_story.html
Carly,Mallenbaum,https://www.stuff.co.nz/travel/themes/adventure/103422485/the-inescapable-rise-of-escape-rooms
CJ,Gustafson,http://www.pinecitymn.com/news/escape-room-experience-comes-to-pine-city/article_56a9298e-509e-11e9-b0bc-ebb6ceea8d94.html
Carly,Mallenbaum,https://www.azcentral.com/story/life/people/2018/04/25/escape-rooms-trend-us/468181002/
Angela,Bolchinova,https://pro.regiondo.com/escape-room-industry-trends/
Ariel,Plasencia,https://www.wfaa.com/article/news/local/its-a-family-affair-at-the-great-escape-in-waxahachie/287-efbf66e4-3e57-4493-9dbd-3cd5de8f0ba6
Nikki,Collister,https://hoodline.com/2020/03/first-escape-game-company-in-u-s-to-close-permanently
Talia,Lakritz,https://www.businessinsider.com/jobs-that-didnt-exist-10-years-ago?IR=T#virtual-reality-game-developer-9
Caroline,James,https://www.godaddy.com/garage/5-ways-to-make-your-escape-room-website-stand-out/
Martins,Straume,https://bitrebels.com/lifestyle/5-fun-things-do-friends/
Marie,Flangan,https://marieflanagan.com/escape-room/
Ben,Mattice,https://www.mmomastermind.com/how-to-craft-brilliant-escape-room-storylines-shoemoney/
John,Feffer,https://www.salon.com/test/2018/11/18/welcome-to-the-ultimate-escape-room_partner/
Erica,Sweeney,https://www.marketingdive.com/news/snickers-escape-room-pinpoints-which-new-flavor-suits-fans-best/524942/
Ellysa,Kroski,https://www.alastore.ala.org/content/ellyssa-kroski-why-escape-rooms-and-other-immersive-experiences-make-great-library-programs
Ashley,May,https://www.wpxi.com/news/national-news/robber-breaks-into-escape-room-then-calls-911-because-he-canapost-get-out/789089807/
John,Feffer,https://www.commondreams.org/views/2018/11/13/welcome-ultimate-escape-room
Ashley,May,https://www.kvue.com/article/news/nation-now/robber-breaks-into-escape-room-then-calls-911-because-he-cant-get-out/465-c5c27740-a42d-4340-92e4-4fcc56440d6a
Erica,Sweeney,https://www.marketingdive.com/news/att-audience-network-brings-mr-mercedes-to-life-with-virtual-escape-roo/526304/
John,Feffer,https://www.nationofchange.org/2018/11/14/welcome-to-the-ultimate-escape-room/
John,Feffer,https://ips-dc.org/welcome-to-the-ultimate-escape-room/
John,Feffer,https://www.truthdig.com/articles/a-sequel-to-our-climate-change-dystopia/
John,Feffer,https://www.juancole.com/2018/11/dystopias-plutocracy-nationalism.html
John,Feffer,https://www.opednews.com/populum/page.php?f=Tomgram-John-Feffer-Spli-by-Tom-Engelhardt-Climate_Escape_Water-181113-405.html
Anjee,Solanki,https://www2.colliers.com/en/news/cre-breaks-in-to-the-escape-room-trend
Lisa,and,https://www.escapefront.com/escape-rooms-2019/
Jason,Yanowitz,https://www.getrevue.co/profile/TILbyJNY/issues/escape-the-room-131466
Tony,Jones,https://www.building-maps.com/escape-room-evacuation-and-code-compliance/
Casey,Bond,https://www.huffingtonpost.in/entry/holiday-gifts-experiences_n_5c004c79e4b0864f4f6b988c
Olivia,spinale,https://www.boston.com/news/local-news/2015/12/03/can-you-make-it-out-of-bostons-drunk-tank-escape-room
Bob,Sandrick,https://www.cleveland.com/strongsville/2016/10/escape_room_plans_for_november.html
Mary,Quigley,https://www.aarp.org/home-family/friends-family/info-2016/shopping-for-millennials-mq.html
Michelle,Clarke,https://www.healthleadersmedia.com/nursing/nurses-create-escape-room-increase-sepsis-awareness
Anna,Zinniola,http://www.manageritalia.it/it/attualita/escape-room-italia
JANEL,SHOUN-SMITH,https://www.lipscomb.edu/news/cracking-code-escape-room-success
Mary,Forgione,https://www.latimes.com/travel/la-tr-tip-sheet-five-things-to-do-in-sacramento-20180312-story.html
Katlina,beniaris,https://www.chicagoparent.com/play/indoor-fun/escape-rooms-for-kids/
Matt,alderton,http://www.successfulmeetings.com/News/Products-and-Services/Escape-Rooms-Corporate-Teambuilding-Activity/
Jeniffer,huffman,https://napavalleyregister.com/news/local/breaking-out-escape-room-adventures-come-to-napa/article_9c25b108-bb62-52e0-91b9-0024475d1072.html
Lauren,macdougall,https://www.kentlive.news/whats-on/whats-on-news/12-escape-rooms-kent-challenge-1091963
Mary,katehickey,https://redtri.com/chicago/mobile-room-escape/
Nicole,schnitzler,https://www.eventbrite.com/rally/chicago/chicagos-best-escape-rooms/
David,spira,https://roomescapeartist.com/2017/05/03/mission-escape-atlanta-the-study-review/
Scott,feinblatt,https://irvineweekly.com/escape-from-irvine/
John,wenzel,https://www.denverpost.com/2015/01/28/growing-escape-room-scene-puts-puzzling-spin-on-group-fun/
Amy,Lafko,https://www.jucm.com/are-those-teambuilding-activities-really-worth-it/
